DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
23/08/2019,26.40,HDB,26.40,26.40,26.25,893370.00
22/08/2019,26.45,HDB,26.40,26.45,26.30,914360.00
21/08/2019,26.50,HDB,26.25,26.50,26.10,1292810.00
20/08/2019,26.30,HDB,26.30,26.35,26.05,995850.00
19/08/2019,26.35,HDB,26.40,26.50,26.20,623530.00
16/08/2019,26.40,HDB,26.30,26.50,26.15,1822580.00
15/08/2019,26.35,HDB,25.75,26.35,25.70,1724750.00
14/08/2019,26.30,HDB,26.05,26.30,25.70,1459040.00
13/08/2019,26.05,HDB,26.05,26.10,25.60,1066250.00
12/08/2019,26.15,HDB,26.45,26.50,25.80,1252920.00
09/08/2019,26.30,HDB,25.00,26.30,24.95,3855360.00
08/08/2019,25.00,HDB,25.00,25.00,24.60,1542970.00
07/08/2019,25.00,HDB,25.00,25.00,24.50,1645830.00
06/08/2019,25.00,HDB,25.60,25.60,24.45,2045940.00
05/08/2019,25.60,HDB,26.00,26.05,25.55,1080940.00
02/08/2019,26.05,HDB,25.90,26.05,25.70,1994450.00
01/08/2019,26.00,HDB,26.00,26.00,25.85,1079040.00
31/07/2019,25.95,HDB,26.10,26.10,25.80,1225140.00
30/07/2019,26.00,HDB,26.05,26.05,25.85,1082500.00
29/07/2019,26.00,HDB,26.00,26.10,25.90,924560.00
26/07/2019,26.05,HDB,26.10,26.20,25.80,1269290.00
25/07/2019,26.15,HDB,26.10,26.25,25.80,1259970.00
24/07/2019,26.10,HDB,26.20,26.30,25.95,507930.00
23/07/2019,26.15,HDB,26.10,26.15,25.90,892560.00
22/07/2019,26.10,HDB,26.40,26.50,25.95,775190.00
19/07/2019,26.40,HDB,26.35,26.45,26.20,910900.00
18/07/2019,26.35,HDB,26.45,26.50,26.00,1073860.00
17/07/2019,26.40,HDB,26.10,26.40,26.00,1838690.00
16/07/2019,26.05,HDB,26.05,26.20,26.00,1018830.00
15/07/2019,26.10,HDB,26.15,26.25,25.85,971410.00
12/07/2019,26.15,HDB,26.10,26.20,25.90,1058860.00
11/07/2019,26.10,HDB,25.95,26.25,25.95,1058820.00
10/07/2019,25.95,HDB,26.10,26.10,25.75,1818100.00
09/07/2019,26.15,HDB,26.00,26.15,25.65,1465910.00
08/07/2019,26.00,HDB,26.20,26.20,25.85,1276780.00
05/07/2019,26.25,HDB,26.50,26.65,26.25,1051800.00
04/07/2019,26.50,HDB,26.50,26.50,26.20,1596370.00
03/07/2019,26.30,HDB,26.40,26.60,26.15,1192780.00
02/07/2019,26.50,HDB,26.85,26.85,26.25,1672670.00
01/07/2019,26.90,HDB,27.50,27.50,26.70,1206760.00
28/06/2019,27.50,HDB,26.55,27.50,25.90,1728220.00
27/06/2019,26.55,HDB,26.60,26.80,26.45,720990.00
26/06/2019,26.60,HDB,26.70,26.80,26.45,1348500.00
25/06/2019,26.70,HDB,26.60,26.80,26.55,641150.00
24/06/2019,26.65,HDB,26.70,26.80,26.55,846740.00
21/06/2019,26.60,HDB,26.90,27.05,26.50,1912930.00
20/06/2019,26.90,HDB,26.50,26.95,26.40,1786910.00
19/06/2019,26.25,HDB,26.00,26.40,25.00,1856260.00
18/06/2019,26.00,HDB,26.55,26.70,25.75,1248130.00
17/06/2019,26.50,HDB,26.70,26.80,26.35,1006060.00
14/06/2019,26.60,HDB,26.75,26.90,26.40,1780120.00
13/06/2019,26.60,HDB,26.70,26.85,26.50,1028590.00
12/06/2019,26.80,HDB,26.80,26.90,26.55,1192730.00
11/06/2019,26.75,HDB,26.60,26.90,26.55,865430.00
10/06/2019,26.80,HDB,26.90,27.00,26.45,1287780.00
07/06/2019,26.90,HDB,26.75,26.90,26.50,941190.00
06/06/2019,26.80,HDB,26.70,27.00,26.70,779490.00
05/06/2019,26.90,HDB,26.65,26.95,26.60,1688710.00
04/06/2019,26.60,HDB,26.60,26.80,26.30,1348200.00
03/06/2019,26.75,HDB,27.25,27.25,26.45,1491650.00
31/05/2019,27.30,HDB,27.25,27.40,26.90,1768000.00
30/05/2019,27.35,HDB,26.90,27.40,26.80,2254410.00
29/05/2019,26.95,HDB,26.80,27.05,26.50,1761010.00
28/05/2019,26.90,HDB,26.90,27.00,26.40,1003730.00
27/05/2019,26.95,HDB,26.50,27.00,26.45,961600.00
24/05/2019,26.50,HDB,26.40,26.70,26.25,883450.00
23/05/2019,26.50,HDB,27.00,27.05,26.20,1685350.00
22/05/2019,27.00,HDB,27.10,27.20,26.85,665200.00
21/05/2019,27.10,HDB,27.15,27.25,26.85,1555260.00
20/05/2019,27.15,HDB,27.15,27.20,26.85,1315780.00
17/05/2019,27.00,HDB,27.25,27.25,26.75,1413840.00
16/05/2019,27.30,HDB,27.40,27.65,26.80,2217020.00
15/05/2019,27.60,HDB,27.00,27.65,26.70,2499810.00
14/05/2019,27.20,HDB,27.40,27.60,26.80,1545870.00
13/05/2019,27.60,HDB,27.20,27.60,26.70,3370690.00
10/05/2019,27.20,HDB,26.80,27.50,26.55,1642950.00
09/05/2019,26.75,HDB,26.30,26.75,26.05,1578090.00
08/05/2019,26.30,HDB,26.00,26.30,25.60,2118830.00
07/05/2019,26.10,HDB,27.30,27.45,26.10,1855910.00
06/05/2019,27.30,HDB,27.85,27.85,27.20,992700.00
03/05/2019,28.00,HDB,28.05,28.10,27.60,1351590.00
02/05/2019,28.05,HDB,28.20,28.20,27.80,1303850.00
26/04/2019,28.10,HDB,28.25,28.30,28.00,944690.00
25/04/2019,28.10,HDB,28.40,28.40,27.75,1239480.00
24/04/2019,28.35,HDB,28.30,28.40,28.15,1127760.00
23/04/2019,28.25,HDB,28.20,28.40,27.95,1394220.00
22/04/2019,28.10,HDB,28.20,28.20,27.70,1243600.00
19/04/2019,28.10,HDB,28.10,28.15,27.85,938990.00
18/04/2019,28.10,HDB,28.30,28.40,27.90,1155030.00
17/04/2019,28.50,HDB,28.70,28.85,28.50,1064030.00
16/04/2019,28.60,HDB,27.65,28.60,27.50,1465250.00
12/04/2019,27.70,HDB,27.95,28.05,27.50,1429660.00
11/04/2019,27.95,HDB,28.20,28.30,27.95,1056670.00
10/04/2019,28.10,HDB,28.55,28.60,28.00,1714100.00
09/04/2019,28.75,HDB,28.90,29.25,28.45,1880540.00
08/04/2019,28.90,HDB,29.10,29.15,28.75,1065960.00
05/04/2019,29.25,HDB,29.10,29.25,28.90,1364970.00
04/04/2019,29.20,HDB,28.50,29.25,28.50,1613920.00
03/04/2019,28.25,HDB,28.50,28.55,28.15,1140200.00
02/04/2019,28.80,HDB,29.60,29.70,28.50,1518730.00
01/04/2019,29.55,HDB,30.00,30.05,29.50,1097250.00
29/03/2019,30.00,HDB,30.00,30.20,29.75,1153030.00
28/03/2019,30.15,HDB,30.20,30.70,30.00,1479130.00
27/03/2019,30.35,HDB,30.35,30.55,30.05,1492830.00
26/03/2019,30.30,HDB,30.30,30.65,30.20,1421400.00
25/03/2019,30.30,HDB,30.30,30.70,30.05,1271210.00
22/03/2019,31.00,HDB,31.00,31.40,30.80,1239450.00
21/03/2019,31.00,HDB,31.75,31.95,30.95,972860.00
20/03/2019,31.75,HDB,31.80,31.90,31.00,931480.00
19/03/2019,31.90,HDB,31.80,32.35,31.80,1696390.00
18/03/2019,31.80,HDB,31.90,32.30,31.65,1392510.00
15/03/2019,31.80,HDB,30.90,31.95,30.85,3064820.00
14/03/2019,30.90,HDB,31.00,31.05,30.70,1310490.00
13/03/2019,31.00,HDB,30.90,31.25,30.90,2043280.00
12/03/2019,30.90,HDB,30.40,31.00,30.30,1505510.00
11/03/2019,30.40,HDB,30.50,30.50,30.10,626150.00
08/03/2019,30.40,HDB,30.45,30.60,30.00,1212760.00
07/03/2019,30.70,HDB,30.70,30.85,30.40,1620040.00
06/03/2019,30.70,HDB,30.75,31.00,30.50,1108670.00
05/03/2019,30.70,HDB,30.40,30.85,30.30,1303000.00
04/03/2019,30.40,HDB,30.40,30.60,30.20,1085020.00
